363;10.87;22.67;-0.46933
364;8.36;22.48;-0.51763
365;11.09;22.27;-0.78165
366;4.91;21.95;-1.3029
367;8.7;21.82;-1.1132
368;7.96;22.44;0.19298
369;13.06;23.88;3.1373
370;8.6;25.51;6.3799
371;11.33;26.7;8.6992
372;8.76;27.54;10.0952
373;10.36;28.29;11.4139
374;12.24;28.91;12.2411
375;11.5;29.41;13.1167
376;11.08;29.68;13.1168
377;10.86;29.48;12.6031
378;7.77;28.81;10.8996
379;9.5;27.95;8.9962
380;7.38;27.17;7.1781
381;11.14;26.4;5.542
382;12.08;25.62;4.0587
383;9.76;25.08;3.0684
384;7.76;24.82;2.6587
385;7.75;24.58;2.2884
386;8.16;24.12;1.3636
387;7.83;23.42;0.091038
388;7.55;22.79;-1.0892
389;8.8;22.58;-1.1842
390;7.93;22.7;-0.55044
391;8.29;23.07;0.15969
392;7.61;23.82;1.8529
393;10.17;25.01;4.3271
394;10.56;26.34;6.6932
395;10.31;27.37;8.9718
396;8.72;28.17;10.0657
397;14.48;28.87;11.5358
398;14.06;29.32;12.0428
399;14.65;29.5;12.0188
400;15.72;29.44;11.5184
401;9.14;29.02;10.6286
402;13.71;28.15;8.6666
403;9.46;27.16;6.5452
404;10.71;26.5;5.1937
405;11.26;26.19;4.4843
406;9.17;25.86;3.8899
407;11.75;25.23;2.824
408;8.31;24.26;1.0109
409;8.45;23.34;-0.76101
410;6.73;22.87;-1.5001
411;9.83;22.83;-1.467
412;9.56;22.87;-1.0866
413;7.65;22.73;-0.97945
414;7;22.4;-1.3996
415;10.93;22.22;-1.5919
416;11.09;22.69;-0.59229
417;11.85;23.88;2.1462
418;11.56;25.22;4.5954
419;11.66;26.2;6.6311
420;15.82;26.94;7.9914
421;12.29;27.58;9.1207
422;13.83;28.02;9.8297
423;12.26;28.25;10.2087
424;16.51;28.29;9.8674
425;15;28.07;9.0718
426;14.73;27.52;7.8975
427;9.39;26.84;6.536
428;14.89;26.28;5.4223
429;8.64;25.79;4.2898
430;13.08;25.32;3.4479
431;15.02;24.94;2.7387
432;8.25;24.65;2.2025
433;9.28;24.41;1.6525
434;7.45;24.24;1.6939
435;9.99;24.15;1.2747
436;10.71;24.1;1.434
437;7.21;24.05;1.5496
438;8.25;23.99;1.4837
439;12.06;24.02;1.7126
440;7.94;24.28;2.4392
441;9.41;24.79;3.4916
442;8;25.31;4.2723
443;13.07;25.48;4.6808
444;12.04;25.32;4.472
445;11.09;25.13;3.8451
446;9.94;25.08;4.1301
447;9.56;25.12;3.9408
448;13.05;25.13;4.0238
449;9.97;24.97;3.7632
450;11.49;24.63;3.1376
451;12.63;24.27;2.6239
452;6.55;24.04;2.0606
453;7.26;23.91;2.0122
454;9.69;23.79;1.8579
455;8.13;23.61;1.5149
456;9.76;23.4;0.93139
457;7.23;23.21;0.82912
458;6.47;23.04;0.67864
459;3.51;22.9;0.58816
460;6.98;22.8;0.67074
461;6.79;22.71;0.40252
462;8.37;22.58;0.39034
463;7.53;22.52;0.27237
464;9.15;22.69;0.92432
465;9.92;23.09;1.799
466;11.4;23.61;2.9678
467;12.83;24.33;4.3006
468;11.99;25.35;6.4827
469;8.32;26.34;8.2885
470;8.98;26.84;8.8777
471;9.99;26.89;8.876
472;13.96;26.7;8.3279
473;14.69;26.22;7.1716
474;9.65;25.3;5.2867
475;11.02;24.27;3.1248
476;9.43;23.6;1.9452
477;8.33;23.22;1.2663
478;7.68;22.9;0.7496
479;8.94;22.69;0.76705
480;9.7;22.63;0.57422
481;10.5;22.62;0.65946
482;4.8;22.47;0.54088
483;7.28;22.19;0.14706
484;3.83;21.91;-0.36581
485;7.71;21.71;-0.5705
486;5.61;21.52;-0.70702
487;5.81;21.43;-0.64647
488;7.31;21.68;0.05661
489;7.73;22.32;1.3132
490;9.84;23.08;3.086
491;12.53;23.8;4.3356
492;11.46;24.63;5.9708
493;14.16;25.45;7.31
494;10.79;25.93;8.2445
495;11.25;26.11;8.4946
496;13.87;26.07;8.1507
497;12.65;25.65;7.3724
498;13.02;24.73;5.2586
499;8.74;23.68;3.3192
500;13.87;23.05;1.9923
501;11.25;22.82;1.5327
502;9.15;22.63;1.2984
503;12.83;22.41;1.0415
504;11.32;22.2;0.69357
505;11.92;22;0.41312
506;11.52;21.77;0.050792
507;11.4;21.46;-0.28293
508;11.32;21.31;-0.45534
509;10.8;21.78;0.56146
510;13.7;22.95;2.722
511;13.34;24.19;5.5416
512;12.71;24.64;6.2648
513;10.08;24.26;5.4342
514;14.12;23.91;4.5811
515;16.02;24.36;5.4077
516;11.86;25.54;7.6364
517;11.58;26.81;10.1502
518;15.67;27.64;11.46
519;13.21;28.11;12.0179
520;18.58;28.37;12.2846
521;20.16;28.14;11.5094
522;14.69;27.29;9.5729
523;11.12;26.28;7.3065
524;14.15;25.65;5.9768
525;9.27;25.33;5.2417
526;11.3;25.02;4.7091
527;11.63;24.57;3.6591
528;15.17;23.97;2.586
529;12.16;23.38;1.3604
530;12.22;23.03;0.95614
531;13.33;22.92;0.7308
532;9.45;22.87;0.78798
533;13.75;22.68;0.2842
534;13.77;22.35;0.11495
535;12.19;22.16;-0.44261
536;13.39;22.4;0.2273
537;16.37;23.1;2.0608
538;17.78;23.96;3.3409
539;17.34;24.71;5.1071
540;16.91;25.42;6.5237
541;21.33;26.07;7.7251
542;21.12;26.42;8.2028
543;19.33;26.5;8.0617
544;22.77;26.39;7.7999
545;21.08;25.98;6.897
546;21.55;25.14;5.1418
547;18.72;24.22;3.0485
548;11.88;23.75;2.3375
549;16.21;23.74;2.1783
550;13.86;23.75;2.2138
551;10.84;23.48;1.8969
552;15.39;22.98;0.97999
553;8.96;22.41;-0.17659
554;8.35;21.86;-1.3517
555;10.78;21.28;-2.0569
556;11.39;20.72;-2.9449
557;13.93;20.26;-3.5667
558;12.15;19.85;-4.2327
559;11.33;19.67;-4.4529
560;14.89;20.18;-2.9179
561;13.91;21.45;-0.22319
562;18.22;22.9;2.6596
563;17.3;23.91;4.8541
564;21.07;24.59;6.0515
565;19.61;25.19;7.0172
566;16.33;25.71;8.0549
567;18.6;26.16;8.7035
568;14.46;26.42;8.8585
569;19.82;26.23;8.1731
570;17.37;25.61;6.7996
571;17.02;24.78;5.1317
572;11.73;23.95;3.4189
573;12.72;23.07;1.7411
574;10.36;22.15;-0.068904
575;10.11;21.42;-1.4853
576;8.11;20.86;-2.3573
577;5.83;20.4;-3.0287
578;6.27;20.04;-3.4319
579;10.55;19.75;-3.706
580;8.94;19.6;-3.9595
581;8.35;19.65;-3.4685
